frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,beverages,soft cheese,hard cheese,cream cheese,mayonnaise,domestic eggs,rolls/buns,roll products,flour,pasta,margarine,specialty fat,sugar,soups,skin care,hygiene articles,candles
frozen dessert,brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen fish,brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuts/prunes,brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen vegetables,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
processed cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard cheese,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napkins,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbs,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
popcorn,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long life bakery product,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salt,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finished products,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
margarine,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oil,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waffles,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate marshmallow,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugar,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog food,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat food,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instant coffee,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog food,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oil,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sliced cheese,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen meals,canned fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soups,canned vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet spreads,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty cheese,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whisky,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat food,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snack products,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chewing gum,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquor,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream cheese,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen meals,cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog food,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salt,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cocoa drinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat food,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugar,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artif. sweetener,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,condensed milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,cookware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white wine,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen fruits,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cereals,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salt,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long life bakery product,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waffles,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oil,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparkling wine,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream cheese,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwieback,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
